%outlook, $temp, <humid, wind, !play
over,	64,	65,	TRUE,	yes 
over,	64,	65,	TRUE,	yes 
over,	72,	90,	TRUE,	yes 
over,	72,	90,	TRUE,	yes 
over,	81,	75,	FALSE,	yes
over,	81,	75,	FALSE,	yes
over,	83,	86,	FALSE,	yes
over,	83,	86,	FALSE,	yes 
sunny,	69,	70,	FALSE,	yes
sunny,	69,	70,	FALSE,	yes
rainy,	65,	70,	TRUE,	no
rainy,	65,	70,	TRUE,	no
sunny,	75,	70,	TRUE,	yes
sunny,	75,	70,	TRUE,	yes
rainy,	75,	80,	FALSE,	yes
rainy,	75,	80,	FALSE,	yes
rainy,	68,	80,	FALSE,	yes 
rainy,	68,	80,	FALSE,	yes
sunny,	85,	85,	FALSE,	no
sunny,	85,	85,	FALSE,	no
sunny,	80,	90,	TRUE,	no
sunny,	80,	90,	TRUE,	no
rainy,	71,	91,	TRUE,	no
rainy,	71,	91,	TRUE,	no
sunny,	72,	95,	FALSE,	no
sunny,	72,	95,	FALSE,	no
rainy,	70,	96,	FALSE,	yes  
rainy,	70,	96,	FALSE,	yes
